RANK,NAME,TEAM,POS,AGE,FTA,FT_PCT,TwoPA,TwoP_PCT,ThreePA,ThreeP_PCT,eFG_PCT,TS_PCT
125,Nikola Vucevic,Orl,C,28.64,14,0.786,45,0.4,13,0.231,0.388,0.436
126,Steven Adams,Okc,C,25.9,8,0.375,41,0.683,1,0,0.667,0.648
127,Raymond Felton,Okc,G,34.97,2,0.5,5,0.4,8,0.25,0.385,0.396
128,Terrance Ferguson,Okc,G,21.08,0,0,7,0.286,18,0.389,0.5,0.5
129,Paul George,Okc,F,29.12,49,0.816,54,0.537,47,0.319,0.51,0.583
130,Jerami Grant,Okc,F,25.26,13,0.692,20,0.55,20,0.45,0.613,0.634
131,Markieff Morris,Okc,F,29.78,9,0.778,9,0.333,7,0.286,0.375,0.476
132,Nerlens Noel,Okc,F-C,25.18,2,0,20,0.6,0,0,0.6,0.575
133,Dennis Schroder,Okc,G,25.75,18,0.722,35,0.543,20,0.3,0.509,0.548
134,Russell Westbrook,Okc,G,30.58,26,0.885,77,0.377,34,0.324,0.41,0.466
135,Jae Crowder,Uta,F,28.94,19,0.737,16,0.5,30,0.3,0.467,0.524
136,Derrick Favors,Uta,F-C,27.92,19,0.684,33,0.697,3,0,0.639,0.665
137,Rudy Gobert,Uta,C,26.97,23,0.783,32,0.594,0,0,0.594,0.665
138,Joe Ingles,Uta,F,31.7,0,0,8,0.5,29,0.276,0.432,0.432
139,Donovan Mitchell,Uta,G,22.77,33,0.727,69,0.362,43,0.256,0.371,0.423
140,Georges Niang,Uta,F,25.99,0,0,9,0.556,13,0.308,0.5,0.5
141,Royce O'Neale,Uta,F,26.03,4,0.75,22,0.591,23,0.348,0.556,0.567
142,Ricky Rubio,Uta,G,28.65,20,0.85,46,0.522,20,0.2,0.455,0.515
143,Jerome Robinson,Lac,G,22.31,5,1,8,0.25,6,0.5,0.464,0.556
144,Dante Cunningham,San,F,32.15,0,0,1,0,2,1,1,1
145,Donatas Motiejunas,San,F-C,28.73,2,0.5,9,0.667,1,0,0.6,0.597
146,Quincy Pondexter,San,F,31.26,0,0,1,0,1,0,0,0
147,Juancho Hernangomez,Den,F,23.71,0,0,1,0,2,0.5,0.5,0.5
148,Anfernee Simons,Por,G,20.02,5,0.8,5,0,2,0,0,0.217
149,Jacob Evans,Gol,G,21.99,0,0,3,0.333,2,0.5,0.5,0.5
150,Wilson Chandler,Lac,F,32.1,4,1,6,0.667,10,0.1,0.344,0.422
151,Bojan Bogdanovic,Ind,F,30.16,17,0.882,41,0.439,22,0.318,0.452,0.511
152,Darren Collison,Ind,G,31.81,6,1,34,0.441,11,0.364,0.467,0.504
153,Tyreke Evans,Ind,G,29.74,14,0.571,28,0.357,20,0.55,0.552,0.563
154,Cory Joseph,Ind,G,27.82,2,1,15,0.533,9,0.444,0.583,0.603
155,Wesley Matthews,Ind,G-F,32.67,3,1,9,0.222,21,0.333,0.417,0.447
156,Domantas Sabonis,Ind,F,23.11,14,0.643,25,0.44,4,0.25,0.431,0.484
157,Myles Turner,Ind,F-C,23.22,13,0.615,21,0.524,14,0.214,0.443,0.479
158,Thaddeus Young,Ind,F,30.98,7,0.571,34,0.471,8,0.25,0.452,0.466
159,Bruce Brown,Det,G,22.83,2,1,9,0.444,5,0.2,0.393,0.437
160,Andre Drummond,Det,C,25.84,21,0.429,53,0.453,1,0,0.444,0.451
161,Wayne Ellington,Det,G,31.54,2,1,13,0.308,22,0.318,0.414,0.432
162,Langston Galloway,Det,G,27.51,0,0,9,0.222,25,0.36,0.456,0.456
163,Reggie Jackson,Det,G,29.16,7,0.857,44,0.432,21,0.429,0.5,0.521
164,Luke Kennard,Det,G,22.97,6,0.833,32,0.438,15,0.6,0.585,0.604
165,Kyle Korver,Uta,G-F,38.24,3,0.667,2,0.5,6,0.333,0.5,0.536
166,Thon Maker,Det,F,22.3,9,0.889,14,0.5,12,0,0.269,0.367
167,Ish Smith,Det,G,30.94,4,0.75,31,0.29,7,0.143,0.276,0.302
168,Rodions Kurucs,Bro,F,21.35,9,0.778,12,0.5,8,0.25,0.45,0.522
169,Sindarius Thornwell,Lac,G,24.58,0,0,3,0.333,3,0.333,0.417,0.417
